Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,URL,LCSC ref
"R1,R2,R7,R8,R13,R30,R31",0402WGF1002TCE,7,,
"R10,R11",0402WGF5601TCE,2,,
"R3,R4,R12",0603WAF270JT5E,3,,
J4,10029449-111RLF,1,https://www.lcsc.com/product-detail/D-Sub-DVI-HDMI-Connectors_Amphenol-ICC-10029449-111RLF_C427307.html,
J2,10118194-0001LF,1,https://www.lcsc.com/product-detail/USB-Connectors_Amphenol-ICC-10118194-0001LF_C132563.html,
R9,1206W4F1004T5E,1,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Ever-Ohms-Tech-HR1206J1M00P05Z_C175518.html,
FB1,BLM21PG221SN1D,1,https://www.lcsc.com/product-detail/Ferrite-Beads_Murata-Electronics-BLM21PG221SN1D_C85840.html,
J5,BM04B-SRSS-TB(LF)(SN),1,,
C21,C0805X103K501T,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_IHHEC-HOLY-STONE-ENTERPRISE-CO-LTD-C0805X103K501T_C105950.html,
"C16,C22,C26",CL05B103KB5NNNC,3,,
"C1,C2,C4,C5,C8,C10,C11,C12,C13,C14,C15,C18,C19,C20,C24,C25,C27,C31",CL05B104KO5NNNC,18,,
"C6,C9",CL21A476MQYNNNE,2,,
C3,CL31A107MQHNNNE,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL31A107MQHNNNE_C15008.html,
C17,CL31A476MPHNNNE,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL31A476MPHNNNE_C96123.html,
J1,DW254W-22-12-85,1,,
U8,"PCT2075DP,118",1,,C192518
"U1,U2,U3",SN74CB3T16211DGGR,3,https://lcsc.com/product-detail/Signal-Switches-Encoders-Decoders-Multiplexers_Texas-Instruments-SN74CB3T16211DGGR_C2653275.html,
"U4,U10",SN74CB3T1G125DBVR,2,,
"U_INT1,U_INT2",SN74LVC2G07DCKR,2,,
U6,SRV05-4-P-T7,1,https://www.lcsc.com/product-detail/TVS_ProTek-Devices-SRV05-4-P-T7_C85364.html,
X1,SX3M54.000M20F30TNN,1,https://www.lcsc.com/product-detail/Oscillators_Shenzhen-SCTF-Elec-SX3M54-000M20F30TNN_C2901593.html,
U7,TPD12S016PWR,1,https://lcsc.com/product-detail/Interface-Specialized_Texas-Instruments-TPD12S016PWR_C201665.html,
U5,TPS2051CDBVR,1,https://lcsc.com/product-detail/Power-Distribution-Switches_Texas-Instruments-TPS2051CDBVR_C129581.html,
